key,displayName,englishName,scientificName,scientificNameAliases,originCountry,idealTemperatureRange,idealHumidityRange,wateringIntervalDays,lightRequirement,careDifficulty,careMemo,status,lightStars,difficultyStars
peperomia,ペペロミア,Peperomia,Peperomia obtusifolia,,中南米熱帯地域,18〜28℃,40〜60%,10,bright_indirect,easy,多肉質の葉で乾燥に強く土が完全に乾いてから水やりする。小型で室内向き・明るい日陰で十分育つ。水のやりすぎによる根腐れが失敗の主な原因なので控えめを意識する。ペットに対しては安全とされる。,既存,3,1
hoya,ホヤ（サクララン）,Wax Plant,Hoya carnosa,,東南アジア・オーストラリア,18〜28℃,40〜60%,10,bright_indirect,medium,多肉質の葉を持つつる性植物。水のやりすぎに注意し土が完全に乾いてから水やりする。明るい日陰〜やや明るい場所を好み光が十分だと開花しやすくなる。つぼみができた後は場所を動かさないようにする。低毒性で比較的安全とされるが誤食は避ける。,既存,3,3
syngonium,シンゴニウム,Arrowhead Plant,Syngonium podophyllum,,中南米熱帯地域,18〜28℃,50〜60%,6,bright_indirect,easy,成長が早くつる状に伸びる。土の表面が乾いたら水やりし定期的な剪定で樹形を整える。明るい日陰を好み光不足だと葉の模様がぼやけることがある。猫・犬には毒性があるため誤食に注意。,既存,3,2
aglaonema,アグラオネマ,Chinese Evergreen,Aglaonema commutatum,,東南アジア熱帯地域,18〜28℃,40〜60%,7,low_light,easy,耐陰性が高く室内向き。土の表面が乾いたら水やりし葉色の美しさを保つため直射日光は避ける。低温に弱いため冬は10℃以上を保つ。葉が黒ずむのは寒さによるダメージのサイン。猫・犬には毒性があるため誤食に注意。,既存,1,1
schefflera,シェフレラ（カポック）,Umbrella Tree,Schefflera arboricola,,台湾・東南アジア,15〜28℃,40〜60%,7,bright_indirect,easy,丈夫で育てやすく初心者向け。土の表面が乾いたら水やりし徒長したら剪定して樹形を整える。明るい日陰を好むが耐陰性もある。葉がポロポロ落ちるのは水のやりすぎか環境変化のサイン。猫・犬には毒性があるため誤食に注意。,既存,3,2
aloe_vera,アロエベラ,Aloe Vera,Aloe vera,,アラビア半島（北アフリカ説も）,10〜30℃,30〜50%,14,bright_direct,easy,乾燥に強い多肉植物。日当たりの良い場所で管理し土が完全に乾いてから水やりする（夏は2週に1回・冬は月1回程度）。葉が薄く反り返るのは水切れ・ぶよぶよになるのは根腐れのサイン。皮膚に使う際は食用・観賞用の品種を確認する。猫・犬には毒性があるため誤食に注意。,既存,4,1
tillandsia,チランジア（エアプランツ）,Air Plant,Tillandsia ionantha,,中南米（メキシコ〜アルゼンチン）,15〜28℃,50〜70%,4,bright_indirect,medium,土を使わず霧吹きや水につけて管理する特殊な植物。週2〜3回の霧吹き、または週1回30分程度の水につけ置き（ソーキング）を行う。風通しの良い明るい日陰で管理し水やり後はしっかり乾かす。葉先が茶色くなるのは乾燥のサイン。ペットに対しては安全とされる。,既存,3,3
hedera_helix,アイビー,English Ivy,Hedera helix,,ヨーロッパ,10〜25℃,40〜60%,6,bright_indirect,easy,つる性で成長が早い。土の表面が乾いたら水やりしハンギングでも壁面でも育てやすい。明るい日陰を好み乾燥した室内ではハダニが発生しやすいので葉水で予防する。猫・犬には毒性があるため誤食に注意。,既存,3,2
fatsia_japonica,ヤツデ,Japanese Aralia,Fatsia japonica,,日本,5〜25℃,40〜60%,7,low_light,easy,耐陰性・耐寒性ともに高く丈夫。土の表面が乾いたら水やりし屋外でも育てられる。大きく育つため定期的な剪定で樹形を整える。葉が黄色くなるのは水のやりすぎのサイン。ペットへの毒性は低いとされるが誤食は避ける。,既存,2,1
beaucarnea_recurvata,トックリラン（ポニーテール）,Ponytail Palm,Beaucarnea recurvata,,メキシコ,10〜28℃,30〜50%,14,bright_direct,easy,幹の根元に水を蓄えるため乾燥に強く水やりは控えめでよい（土が完全に乾いてから）。日当たりの良い場所を好み光不足だと徒長する。幹の根元がぶよぶよになるのは水のやりすぎのサイン。ペットに対しては安全とされる。,既存,4,1
strelitzia_nicolai,ストレリチア（極楽鳥花）,White Bird of Paradise,Strelitzia nicolai,,南アフリカ,15〜28℃,40〜60%,6,bright_indirect,medium,大型に育つため広いスペースと明るい光を好む。土の表面が乾いたらたっぷり水やりする。光不足だと新しい葉が出にくくなる。葉が縦に裂けるのは自然な生育の一部で心配不要。ペットには軽度の毒性があるとされ誤食は避ける。,既存,4,3
cyperus_alternifolius,シュロガヤツリ,Umbrella Papyrus,Cyperus alternifolius,,マダガスカル,18〜28℃,60%以上,3,bright_indirect,easy,水を好むため土を乾かさず受け皿に水を溜めても良い。明るい日陰〜明るい場所を好む。乾燥させすぎると葉先が茶色くパリパリになる。ペットに対しては安全とされる。,既存,3,2
adiantum,アジアンタム,Maidenhair Fern,Adiantum raddianum,,熱帯〜亜熱帯地域,15〜25℃,60%以上,3,low_light,hard,乾燥に非常に弱いシダ植物。土を乾かさず葉水と高湿度（60%以上目安）を保つのが最重要。エアコンの風や乾燥した室内は苦手で少しの乾燥でも葉が一気に枯れ込む。枯れても株元が生きていれば復活することがあるので焦らず様子を見る。ペットに対しては安全とされる。,既存,1,5
nephrolepis_exaltata,タマシダ（ボストンファーン）,Boston Fern,Nephrolepis exaltata,,熱帯地域,15〜25℃,60%以上,4,low_light,medium,高湿度を好むシダ植物。土の表面が乾いたら水やりし定期的な葉水が生育の鍵。乾燥した室内では葉先が茶色くパリパリになりやすい。加湿器の近くや浴室に近い場所での管理が向いている。ペットに対しては安全とされる。,既存,2,4
cactus_generic,サボテン,Golden Barrel Cactus,Echinocactus grusonii,,北米・中南米,10〜30℃,20〜40%,21,bright_direct,easy,非常に乾燥に強く水のやりすぎが最大の失敗要因。生育期（春〜秋）は土が完全に乾いてから水やりし休眠期の冬はほぼ断水気味にする。日当たりの良い場所を好み光不足だと徒長する。トゲがあるため取り扱いに注意しペットや小さな子供の手が届かない場所に置く。,既存,5,1
oxalis_triangularis,オキザリス（紫の舞）,Purple Shamrock,Oxalis triangularis,,南米（ブラジル）,15〜25℃,40〜60%,5,bright_indirect,easy,紫色の葉が特徴で夜や暗い場所では葉を閉じる。土の表面が乾いたら水やりし明るい日陰で管理する。休眠期に葉が枯れることがあるが球根が生きていれば復活する。猫・犬が大量に誤食すると中毒を起こす可能性があるため注意。,既存,3,2
ficus_lyrata,ウンベラータ（カシワバゴムノキ）,Fiddle Leaf Fig,Ficus lyrata,,西アフリカ（熱帯雨林）,18〜28℃,40〜60%,8,bright_indirect,medium,大きな葉が特徴で人気。土の表面が乾いたらたっぷり水やりする。置き場所を頻繁に変えると葉を落としやすいので一度決めた場所から動かさないようにする。葉に茶色い斑点が出るのは水のやりすぎのサイン。樹液に触れるとかぶれることがあるため手入れ時は手袋を使うと安心。ペットが樹液に触れると軽い刺激を起こすことがある。,新規,3,3
ficus_benjamina,ベンジャミン,Weeping Fig,Ficus benjamina,,インド・東南アジア,15〜28℃,40〜60%,7,bright_indirect,easy,環境変化に敏感で葉を落としやすいが丈夫。土の表面が乾いたら水やりし日当たりの良い場所を好む。引っ越しや模様替えの直後に落葉しても環境に慣れれば新芽が出て回復する。樹液に触れるとかぶれることがあるため注意。ペットが樹液に触れると軽い刺激を起こすことがある。,新規,3,2
begonia_maculata,ベゴニア・マクラータ,Polka Dot Begonia,Begonia maculata,,ブラジル,18〜25℃,50〜60%,5,bright_indirect,medium,水玉模様の葉が人気。土の表面が乾いたら水やりし過湿による茎の腐敗に注意して風通しを確保する。直射日光は避け明るい日陰で管理する。葉が黒く傷むのはうどんこ病や過湿のサイン。猫・犬には毒性があるため誤食に注意。,新規,3,3
fittonia_albivenis,フィットニア,Nerve Plant,Fittonia albivenis,,南米熱帯雨林,18〜25℃,60%以上,4,low_light,medium,乾燥に非常に弱く葉がすぐしおれる。土を常に軽く湿らせ高湿度を保つ。しおれても水やりですぐ復活することが多いが頻発すると株が弱るので土が乾く前の水やりを心がける。テラリウムでの管理にも向いている。ペットに対しては安全とされる。,新規,2,4
rhaphidophora_tetrasperma,ヒメモンステラ（ラフィドフォラ）,Mini Monstera,Rhaphidophora tetrasperma,,東南アジア（タイ・マレーシア）,18〜28℃,50〜60%,7,bright_indirect,easy,モンステラに似た切れ込み葉を持つつる性植物。土の表面が乾いたら水やりし成長が早いため支柱仕立てにすると見栄えが良い。光不足だと葉に切れ込みが入らず育つ。猫・犬には毒性があるため誤食に注意。,新規,3,2
ceropegia_woodii,ハートカズラ,String of Hearts,Ceropegia woodii,,南アフリカ,15〜28℃,30〜50%,10,bright_indirect,easy,ハート型の小さな葉が連なるつる性多肉植物。土が乾いてから水やりし水のやりすぎに弱い。明るい場所を好み光不足だと葉と葉の間隔が間延びする。塊根（芋）を作る性質がありこれが縮むのは水切れのサイン。ペットへの毒性情報は明確でないため誤食は避ける。,新規,3,2
senecio_rowleyanus,グリーンネックレス,String of Pearls,Senecio rowleyanus,,南西アフリカ（ナミビア等）,15〜25℃,30〜50%,10,bright_direct,medium,丸い葉が連なる多肉植物。過湿に弱くハンギングでの管理が人気。土が完全に乾いてから水やりし風通しの良い明るい場所で管理する。玉がしぼむのは水切れ・割れて透明になるのは水のやりすぎのサイン。猫・犬・人体にも毒性があるため誤食に厳重注意。,新規,4,3
chlorophytum_comosum,オリヅルラン,Spider Plant,Chlorophytum comosum,,南アフリカ,15〜28℃,40〜60%,7,bright_indirect,easy,丈夫で子株をよく出す初心者向け植物。土の表面が乾いたら水やりし乾燥・過湿どちらにも比較的強い。フッ素に敏感な品種は葉先が茶色くなりやすいので汲み置き水がおすすめ。伸びたランナーの子株は切り分けて増やせる。ペットに対しては安全とされるが猫が好んでかじることがあるので誤食量に注意。,新規,2,1
yucca_elephantipes,ユッカ,Spineless Yucca,Yucca gigantea,Yucca elephantipes,メキシコ・中米,15〜30℃,30〜50%,10,bright_direct,easy,乾燥に強く直立した葉が特徴。日当たりの良い場所を好み土が完全に乾いてから水やりする。冬は水やり頻度を大きく減らす。葉先が茶色くなるのは水のやりすぎか根詰まりのサイン。猫・犬には毒性があるため誤食に注意。,新規,4,1
codiaeum_variegatum,クロトン,Croton,Codiaeum variegatum,,東南アジア・太平洋諸島,18〜28℃,50〜60%,6,bright_direct,medium,カラフルな葉色が魅力。葉色を保つには明るい光が必要で寒さと乾燥に弱い。土の表面が乾いたら水やりし冬は10℃以上を保つ。環境が合わないと葉を落としやすいので置き場所は固定する。猫・犬には毒性があるため誤食に注意。,新規,4,3
pilea_peperomioides,ピレア・ペペロミオイデス,Chinese Money Plant,Pilea peperomioides,,中国（雲南省）,15〜25℃,40〜60%,7,bright_indirect,easy,丸い葉がユニークで子株がよく増える人気種。土が乾いたらたっぷり水やりする。定期的に鉢の向きを回転させると葉が均一に育つ。子株は根が出た状態で切り離して増やせる。ペットに対しては安全とされる。,新規,3,2
howea_forsteriana,ケンチャヤシ,Kentia Palm,Howea forsteriana,,オーストラリア（ロードハウ島）,15〜28℃,40〜60%,7,low_light,easy,耐陰性が高く室内向きの人気ヤシ。土の表面が乾いたら水やりし乾燥にも比較的強い。成長がゆっくりなので焦らず育てる。葉先が茶色くなるのは空気の乾燥や水道水のミネラルが原因のことが多い。ペットに対しては安全とされる。,新規,2,2
kalanchoe_tomentosa,カランコエ（月兎耳）,Panda Plant,Kalanchoe tomentosa,,マダガスカル,12〜28℃,30〜50%,14,bright_direct,easy,ビロード状の産毛に覆われた葉が特徴の多肉植物。乾燥に強く水やりは控えめにし土が完全に乾いてから与える。日当たりの良い場所を好むが真夏の強い直射日光は避ける。猫・犬には毒性があるため誤食に注意。,新規,4,1
rhipsalis_baccifera,リプサリス,Mistletoe Cactus,Rhipsalis baccifera,,中南米・アフリカ熱帯地域,15〜25℃,50〜60%,7,low_light,medium,森林性のサボテンで直射日光を嫌う。垂れ下がる茎がハンギングで人気。土の表面が乾いたら水やりし一般的なサボテンより頻度は高めでよい。明るい日陰で管理し乾燥しすぎると茎にシワが寄る。ペットに対しては比較的安全とされる。,新規,2,3
philodendron_birkin,フィロデンドロン・バーキン,Philodendron Birkin,Philodendron 'Birkin',,交配園芸品種（親種は中南米原産）,18〜28℃,50〜60%,7,bright_indirect,easy,春から秋は土の表面が乾いたら鉢底から流れ出るまでたっぷり水を与え、冬は乾かし気味にして頻度を控えます。直射日光は葉焼けの原因になるためレースカーテン越しの明るい室内で管理しましょう。空気が乾燥すると新葉の白い斑が縮れたり葉先が枯れ込みやすいので葉水などで湿度を保つと安心です。サトイモ科でシュウ酸カルシウムを含み犬猫が誤食すると口腔内に炎症を起こす恐れがあるため届かない場所に置いてください。,新規,3,2
philodendron_micans,フィロデンドロン・ミカンス,Philodendron Micans,Philodendron hederaceum,Philodendron scandens f. micans,中央アメリカ〜カリブ海地域,18〜27℃,55〜65%,6,bright_indirect,easy,生育期の春〜秋は土が乾いたらたっぷり水を与え、冬は乾燥気味に管理します。強い光に当てるとビロード状の葉の色つやが失われるため明るい日陰で育てましょう。水切れやツルが徒長して間延びするのはよくある失敗で定期的な剪定で樹形を整えます。サトイモ科植物のため誤食すると口内が荒れる恐れがありペットが触れない場所での管理が必要です。,新規,3,2
philodendron_pink_princess,フィロデンドロン・ピンクプリンセス,Philodendron Pink Princess,Philodendron erubescens 'Pink Princess',,コロンビア原産種の交配園芸品種,20〜28℃,55〜65%,7,bright_indirect,medium,春〜秋は表土が乾いたらたっぷりと水やりし冬は控えめにします。ピンクの斑を保つには明るい光が必要ですが直射日光は葉焼けの原因になるため注意してください。光量不足だと斑が消えて緑一色に戻りやすいためその場合は全緑の茎を剪定すると斑入りの成長点が優勢になります。サトイモ科植物で誤食すると口腔内が炎症を起こす恐れがあるためペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
philodendron_silver_sword,フィロデンドロン・シルバーソード,Philodendron Silver Sword,Philodendron hastatum,Philodendron 'Silver Sword',ブラジル,18〜27℃,50〜60%,7,bright_indirect,easy,春〜秋は土の表面が乾いたら水を与え冬はやや乾かし気味にします。明るい室内の柔らかい光を好み直射日光は葉焼けを招きます。光不足だと葉が小さく間延びしやすいのでこまめな向き替えと剪定で形を整えましょう。サトイモ科のため誤食による口腔内の刺激が懸念されるためペットが近づかない場所での管理をおすすめします。,新規,3,2
philodendron_gloriosum,フィロデンドロン・グロリオサム,Philodendron Gloriosum,Philodendron gloriosum,,コロンビア,20〜27℃,60〜70%,6,bright_indirect,medium,春〜秋は土の表面が乾いたらたっぷり水を与え冬は乾かし気味にします。地表を這うように育つ性質があるため茎を土に深く埋めすぎないよう浅めに植えるのがコツです。乾燥した室内ではビロード状の葉先が枯れ込みやすいため加湿器や葉水で湿度を高めに保ちましょう。サトイモ科植物で誤食すると口腔内が炎症を起こす恐れがあるためペットのいる家庭では注意してください。,新規,3,3
philodendron_verrucosum,フィロデンドロン・ベルコーサム,Philodendron Verrucosum,Philodendron verrucosum,,コロンビア・エクアドルなど中南米,20〜27℃,70〜80%,5,bright_indirect,hard,高い湿度を好むため春〜秋は土が乾いたらすぐに水を与え冬もやや湿り気を保ちます。強い光や直射日光には弱くレースカーテン越しの明るい日陰が適しています。乾燥した室内では葉が茶色く縮れやすく上級者向けの管理が必要な種です。サトイモ科植物のため誤食すると口腔内の刺激を引き起こす恐れがありペットが触れない環境で管理してください。,新規,3,4
philodendron_selloum,フィロデンドロン・セローム,Philodendron Selloum,Philodendron bipinnatifidum,Philodendron selloum,ブラジル南部,15〜28℃,40〜60%,7,bright_indirect,easy,大型に育つため春〜夏は水切れに注意しこまめに水を与え冬は乾かし気味にします。明るい室内が理想ですが半日陰にもある程度耐えるため置き場所の融通が利きます。水切れで葉が大きく垂れ下がるのがよくあるトラブルサインです。サトイモ科植物で葉が大きく子供やペットの手の届く高さに置きがちなため誤食による口腔内の刺激に注意してください。,新規,3,2
philodendron_scandens,ヒメカズラ,Heartleaf Philodendron,Philodendron hederaceum,Philodendron scandens,中央アメリカ〜西インド諸島,18〜27℃,50〜60%,7,low_light,easy,乾燥にも比較的強く土の表面が乾いてから数日後に水を与える程度で十分です。耐陰性が高く室内のやや暗い場所でも育ちますが光が弱すぎるとツルが間延びしやすくなります。水の与えすぎによる根腐れが最も多い失敗例なので鉢底の水はけを確認しましょう。サトイモ科植物のため誤食すると口腔内が荒れる恐れがありペットが齧らない場所に置いてください。,新規,2,1
philodendron_florida_beauty,フィロデンドロン・フロリダビューティー,Philodendron Florida Beauty,Philodendron 'Florida Beauty',,交配園芸品種（親種は中南米原産）,20〜28℃,55〜65%,7,bright_indirect,medium,春〜秋は表土が乾いたらたっぷり水を与え冬は控えめにします。斑入りの白い模様を保つには明るい日陰が必要で光が不足すると斑が消えて緑一色に戻りやすくなります。深い切れ込みの葉が出にくい場合は光量不足が原因のことが多いため置き場所を見直しましょう。サトイモ科植物で誤食すると口腔内の炎症を招く恐れがあるためペットのいる家庭では注意が必要です。,新規,3,3
alocasia_polly,アロカシア・ポリー,Alocasia Polly,Alocasia × amazonica 'Polly',,交配園芸品種（原種は熱帯アジア原産）,20〜28℃,60〜70%,5,bright_indirect,medium,生育期の春〜夏は土が乾いたらたっぷり水を与えますが冬に葉が枯れ込み休眠する場合は水やりを大幅に減らします。高い湿度を好むため乾燥した室内では葉先がパリパリに枯れ込みやすく加湿器の併用がおすすめです。直射日光は葉焼けの原因になるため明るい日陰で管理してください。アロカシア属は樹液にシュウ酸カルシウムを多く含み誤食すると口腔内に強い炎症を起こす恐れがあるためペットが絶対に触れない場所で管理してください。,新規,3,3
alocasia_black_velvet,アロカシア・ブラックベルベット,Alocasia Black Velvet,Alocasia reginula,,ボルネオ島,20〜28℃,65〜75%,5,bright_indirect,hard,小型で乾湿の変化に敏感なため土の表面が乾いたら早めに水を与えますが常に湿らせすぎないよう注意します。高い湿度を好み黒みがかったビロード葉は直射日光で簡単に葉焼けするため明るい日陰で管理してください。過湿による根腐れが最も多い失敗例で受け皿に水を溜めないようにしましょう。アロカシア属の中でも樹液の刺激が強いとされ誤食すると重い炎症を起こす恐れがあるためペットのいる家庭では特に注意が必要です。,新規,3,4
alocasia_silver_dragon,アロカシア・シルバードラゴン,Alocasia Silver Dragon,Alocasia baginda 'Silver Dragon',,ボルネオ島,20〜28℃,60〜70%,5,bright_indirect,medium,土の表面が乾いたら水を与え冬の休眠期は乾かし気味に管理します。銀灰色の葉脈模様を保つには明るい日陰と高めの湿度が必要で乾燥すると葉先が枯れ込みます。直射日光や急な環境変化で葉が黄変するのはよくあるトラブルサインです。アロカシア属はシュウ酸カルシウムを含み誤食すると口腔内が強く刺激される恐れがあるためペットが近づけない場所で管理してください。,新規,3,3
alocasia_odora,アロカシア・オドラ,Giant Upright Elephant Ear,Alocasia odora,,東アジア〜東南アジア,15〜28℃,50〜65%,6,bright_indirect,easy,他のアロカシアより丈夫で春〜秋は土が乾いたらたっぷり水を与え冬はやや控えめにします。明るい日陰から半日陰まで幅広く適応しますが直射日光は葉焼けの原因になります。過湿による根腐れが起きやすいので鉢底の水はけを確保しましょう。大きな葉と茎に樹液を多く含みシュウ酸カルシウムによる強い刺激があるため誤食するとペットや子供の口腔内が炎症を起こす恐れがあります。,新規,3,2
